관광지,전체내용
청와대,청와대 : 청와대 관람은 예약이 필요하나 경복궁 담을 따라 청와대 앞을 걸어봐도 좋습니다. 아름다운 길입니다.
청와대,"청와대공원 개방으로 청와대 앞 공원 둘러보기 추천~ : 청와대 견학은 예약제로 운영하지만, 올해부터 청와대공원 인근 검문없이 자유롭게 산책할 수 있습니다.편안하게 청와대 공원 산책하고, 청와대 바라보며 삼청동까지 천천히 걸었습니다."
청와대,가볼만한 가치가 있네여 : 예약하고 가셔야 해요경비 엄청 삼엄하고 사진도 찍을수 있는 곳정해쟈 있는데 그럼에도 불구하고 유익함단 볕 피할데가 없어서 모자 필수친절하고 아이들 교육에도 좋아요
청와대,서울의 중심 : 물론 통치의 핵심장소이기도 하나 뒤에 병풍처럼 두른 산들과 앞 광화문 광장.양쪽 북촌과 서촌 사이에 청와대가 있다.위치적으로도 서울의 요지이자 중심에 청와대가 있다.차가 지나가야하는 루트라 검문을 하고 지나갔는데  의경들이 친절했고 비록 지나치기만 했지만  요새같은 시국에 만감이 교차했다.
청와대,"청와대 관람 : 저는 청와대가 너무 궁금하여~ 미리 예약을 해서 입장 하였습니다. 물론 2~3개월전에 예약제로 운영이 되는곳입니다. '관람료는 없어요.. 무료입니다. 대신 개인일경우 10명이하로 , 단체일경우 11~200명이하로 신청이 가능합니다. 관람은 매주 화요일~금요일 토요일은 둘째, 넷내주에 가능합니다. 관람 시간은 오전 10시, 11시 오후 2시 3시로 하루에 4번을 운영중입니다.  총관람은 한시반이 걸립니다. 관람 코스는 만남의 장소-> 홍보관-> 녹지원 -> 구 본관터-> 소정원 -> 본관 -> 영빈관 -> 칠궁-> 무궁화동산 -> 청와대 사랑채입니다. 대중교통을 이용하시는 분들은 지하철 3호선 경복궁역 5번 출구를 이용하여 주셔야 합니다."
청와대,"한번은 가봐야 할 곳~ : 대통령이 계신곳이라 경비가 삼엄하네요, 경복궁 뒤쪽에 있어 아이들 교육면에서도 고궁갈때 걸어가보면 좋아요 청와대 투어도 있다하니 내부도 가보고 싶네요"
보신각,보신각 지나가면서~~~ : 보신각 지나가면서 한번식 사진도 직고 너무 좋아 하는대 요즈음은 한번식 지나가다 보면 대모만 하고있어서 참 그렇다~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~문화재 만큼 이나 성수러워야하는대 ㅠㅠㅠ
보신각,"새해를 맞이하여 울리는 종소리 : 티비를 보면 항상 커플들이 모여서 키스하는 장소로 기억이 많이 남네요. 평소에가면 가까이 접근은 하지못하나, 공원으로서 인상깊습니다."
보신각,좋은곳 : 매년 말일에 이곳을 방문하면 tv에 나올지도 모른다. 평소에는 별일 없이 조용한곳.도심 한 가운데 이런 종이 있다는것이 조금 신기
보신각,"보신각 타종의 주인공 : 종각역 지나갈때, 아무생각없이 지나곤 했는데여기가 바로 보신각 이더라고요.ㅋㅋㅋ보신각 타종, 항상 그맘때면 정말 사람이 엄청나게 몰려서그거 한번 듣겠다고 말이죠.집에서 티비를 보는대도, 사람들이 무지하게 많아 보이던데직접 온 사람은 오죽하겠습니까.멀리서 볼수 밖에 없어서 아쉽긴 하지만, 그래도 문화의 유산안내표지만 보고 갈 때름이네요~"
보신각,방문기 : 연말연시에 서울에서 타종 행사를 하는 곳으로 유명한 이곳은 서울시민 모두가 다 아는 랜드마크로 종로2가 도심 한복판 누각에 종이 있어 새삼 우리 민족의 자긍심을 일깨우는 곳입니다.
보신각,정오의 이벤트 : 점심 12시 전에 가면한복을 입고 종을 칠 수 있는이벤트가 있습니다.11시 30분 정도에 가서 사진찍고12시에 종을 치는데 정말 좋았어요.내국인은 인터넷에서 미리 신청을 해야하지만외국은은 즉석에서 가능합니다.
