여행지,주소,행정구역,시군구,분류,트립어드바이저평점
해녀박물관,"3204-1 구좌읍 하도리, 제주",제주특별자치시,제주시,전문 박물관,4
비자림,"구좌읍 비자숲길, 제주",제주특별자치시,제주시,공원 • 산림,4.5
김녕 미로공원,"구좌읍 만장굴길 122, 제주",제주특별자치시,제주시,즐길거리 & 랜드마크 • 가든,4
평화박물관,"한경면 청수서5길 63, 제주",제주특별자치시,제주시,군사 박물관 • 역사박물관,4
협재,"한림읍 협재리 2497-1, 제주",제주특별자치시,제주시,해변,4.5
금능해수욕장,"한림읍 금능길 119-10, 제주",제주특별자치시,제주시,해변,4.5
새별오름,"애월읍 봉성리 산59-8, 제주",제주특별자치시,제주시,산,4.5
한라산 국립공원,제주특별자치도 서귀포시 토평동 산15-1,제주특별자치시,제주시,산 • 국립공원 • 산림,4.5
어승생오름,제주 제주시 해안동 산220-12,제주특별자치시,제주시,경관이 좋은 산책로,5
생각하는 정원,제주 제주시 한경면 녹차분재로 675 생각하는정원,제주특별자치시,제주시,전문 박물관 • 공원 • 커피숍 • 가든,4.5
항파두리 항몽유적지,"한경면 녹차분재로 675, 제주",제주특별자치시,제주시,역사적인 장소 • 고대 유적 • 즐길거리 & 랜드마크,4
삼성혈,제주 제주시 삼성로 22,제주특별자치시,제주시,역사적인 장소,3.5
제주 관덕정,제주 제주시 관덕로 19 관덕정,제주특별자치시,제주시,역사적인 장소 • 건축물,3.5
제주돌문화공원,제주특별자치도 제주시 조천읍 남조로 2023 교래자연휴양림,제주특별자치시,제주시,공원 • 교육적인 장소,4
아부오름,"좌읍 송당리 산164-1, 제주",제주특별자치시,제주시,화산,4.5
한림공원,"한림읍 한림로 300, 제주",제주특별자치시,제주시,공원 • 가든,4
섭지코지,"성산읍 신양리, 서귀포",제주특별자치시,서귀포시,전망대,4.5
김영갑 갤러리,제주 서귀포시 성산읍 삼달로 137,제주특별자치시,서귀포시,아트뮤지엄,4.5
김영갑 갤러리 두모악,제주 서귀포시 성산읍 삼달로 137,제주특별자치시,서귀포시,아트뮤지엄,4.5
세리월드,"법환상로2번길 97-13, 서귀포",제주특별자치시,서귀포시,놀이공원 & 테마파크,4
성산일출봉,제주 서귀포시 성산읍 성산리 1,제주특별자치시,서귀포시,산 • 지층,4.5
테디베어뮤지엄,"중문관광로110번길 31, 서귀포",제주특별자치시,서귀포시,전문 박물관,4
소인국 테마파크,제주 서귀포시 안덕면 중산간서로 1878,제주특별자치시,서귀포시,놀이공원 & 테마파크,3.5
천지연폭포,"천지동, 서귀포",제주특별자치시,서귀포시,폭포,4
대포 주상절리,"이어도로 36-24, 서귀포",제주특별자치시,서귀포시,지층 • 경관이 좋은 산책로,4.5
정방폭포,"동홍동, 서귀포, 제주도",제주특별자치시,서귀포시,폭포,4.5
산방산,"안덕면, 서귀포",제주특별자치시,서귀포시,산,4.5
산방굴사,제주 서귀포시 안덕면 산방로 218-12,제주특별자치시,서귀포시,종교적인 장소,4
용머리해안,"안덕면 사계리 112-3, 서귀포",제주특별자치시,서귀포시,해변,4.5
성읍민속마을,"표선면 성읍리, 서귀포시, 제주",제주특별자치시,서귀포시,역사적인 장소 • 전쟁터 유적지,3.5
여미지식물원,제주 서귀포시 중문관광로 93,제주특별자치시,서귀포시,공원 • 가든,4
외돌개,제주 서귀포시 서홍동 791,제주특별자치시,서귀포시,지층,4
신영 영화박물관,"남원읍 태위로 536, 서귀포",제주특별자치시,서귀포시,전문 박물관,3.5
아프리카박물관,"서귀포시 이어도로 49, 서귀포",제주특별자치시,서귀포시,아트뮤지엄,4
퍼시픽랜드,"서귀포시 색달동 2950-5 중문관광단지 내, 서귀포",제주특별자치시,서귀포시,놀이공원 & 테마파크,4
제주민속촌박물관,"표선면 민속해안로 631-34, 서귀포",제주특별자치시,서귀포시,아트뮤지엄,4
오설록뮤지엄,"안덕면 신화역사로 15, 서귀포",제주특별자치시,서귀포시,전문 박물관,4
송악산,"대정읍 송악관광로 421-1, 서귀포",제주특별자치시,서귀포시,산,4.5
알뜨르 비행장,제주 서귀포시 대정읍 상모리,제주특별자치시,서귀포시,역사적인 장소 • 군사 기지 및 시설,4.5
이중섭 미술관,제주 서귀포시 이중섭로 27-3,제주특별자치시,서귀포시,아트뮤지엄,4
쇠소깍,"쇠소깍로 140, 서귀포",제주특별자치시,서귀포시,물길,4
휴애리 자연생활공원,"남원읍 신례동로 256, 서귀포",제주특별자치시,서귀포시,공원,4
제주 감귤박물관,"효돈순환로 441, 서귀포",제주특별자치시,서귀포시,전문 박물관,4
