여행지,주소,행정구역,시군구,분류,트립어드바이저평점
용두산공원,"중구 용두산길 37-55, 부산",부산광역시,중구,즐길거리 & 랜드마크 • 공원,4
부산타워,"중구 용두산길 37-30, 부산",부산광역시,중구,전망대 & 타워,4
BIFF 광장,"중구 남포동, 부산",부산광역시,중구,즐길거리 & 랜드마크,4
태종대,"영도구 동삼동, 부산",부산광역시,영도구,전망대,4.5
복천박물관,"동래구 복천로 63, 부산",부산광역시,동래구,역사박물관,4.5
이기대,"남구 용호동 산122, 부산",부산광역시,남구,공원 • 경관이 좋은 산책로,4.5
해운대,"해운대구, 부산",부산광역시,해운대구,해변,4
송정해수욕장,"해운대구 송정동 712-2, 부산",부산광역시,해운대구,해변,4
해운대 달맞이길,"해운대구 좌동순환로, 부산",부산광역시,해운대구,즐길거리 & 랜드마크,4.5
청사포,"해운대구 해운대해변로359번길 27, 부산",부산광역시,해운대구,즐길거리 & 랜드마크 • 경관이 좋은 산책로,4.5
누리마루 APEC 하우스,"해운대구 동백로 116, 부산",부산광역시,해운대구,즐길거리 & 랜드마크 • 건축물 • 전망대 • 기념비 및 동상,4
SEA LIFE 부산아쿠아리움,"해운대구 해운대해변로 266, 부산",부산광역시,해운대구,수족관,4
김성종 추리문학관,"해운대구 달맞이길117번나길 111, 부산",부산광역시,해운대구,도서관,4.5
부산국제영화제,"부산 해운대구 수영강변대로 120, 부산",부산광역시,해운대구,문화 행사,4
낙동강하구에코센터,"사하구 낙동남로 1240, 부산",부산광역시,사하구,즐길거리 & 랜드마크,4.5
금강 공원,"동래구 우장춘로 155, 부산",부산광역시,동래구,공원,4
범어사,"금정구 청룡동 546, 부산",부산광역시,금정구,종교적인 장소,4.5
광안대교,부산 수영구 민락동,부산광역시,수영구,즐길거리 & 랜드마크 • 브리지,4.5
해동용궁사,"기장군 기장읍 용궁길 86, 부산",부산광역시,기장군,종교적인 장소,4.5
기장시장,"기장읍 읍내로104번길 16, 부산",부산광역시,기장군,벼룩시장 & 재래시장,4
장안사,"기장군 장안읍 장안로 482, 부산",부산광역시,기장군,역사적인 장소 • 즐길거리 & 랜드마크 • 종교적인 장소,4
장생포 고래박물관,"남구 장생포고래로244, 울산",울산광역시,남구,전문 박물관,4
주전 몽돌해변,"동구 동해안로 653 (주전동), 울산",울산광역시,동구,해변,5
대왕암 공원,"동구, 일산동, 울산",울산광역시,동구,공원,4.5
자수정 동굴나라,"상북면 자수정로 212, 울산",울산광역시,울주군,놀이공원 & 테마파크 • 동굴,4
태화강 십리대밭,"중구 태화동 107, 울산",울산광역시,중구,공원,4.5
간절곶,"울주군 서생면 대송리, 울산",울산광역시,울주군,전망대 & 타워,4.5
서생포왜성,"울주군 서생면 서생리, 울산",울산광역시,울주군,역사적인 장소,4
울산 암각화 박물관,"두동면 반구대안길 254, 울산",울산광역시,울주군,전문 박물관,4.5
팔공산케이블카,"동구 팔공산로 185길 51, 대구",대구광역시,동구,전차,4.5
천주교 대구대교구 주교좌 계산성당,"중구 서성로 10, 대구",대구광역시,중구,종교적인 장소,4
함덕 서우봉 해변,"조천읍 함덕리, 제주",제주특별자치시,제주시,해변,4.5
용눈이 오름,"구좌읍 종달리 산28, 제주",제주특별자치시,제주시,화산,4.5
우도,"우도면, 제주",제주특별자치시,제주시,섬,4.5
용두암,"용두암길 15, 제주",제주특별자치시,제주시,즐길거리 & 랜드마크 • 지층,3.5
제주 민속자연사박물관,"삼성로 40, 제주",제주특별자치시,제주시,역사박물관,4
방림원,"한경면 저지리 예술인마을, 제주",제주특별자치시,제주시,전문 박물관,4
북촌 돌하르방공원,"조천읍 북촌리 976, 제주",제주특별자치시,제주시,공원,4
만장굴,"구좌읍 김령리 3341-3, 제주",제주특별자치시,제주시,동굴,4
산굼부리,"조천읍 교리 산38, 제주",제주특별자치시,제주시,자연 & 야생동물 서식지,4
