,리뷰
138,천주교 대전교구 공세리성당-->조용한 성당
139,천주교 대전교구 공세리성당-->드라마와 영화에 종종 나온 성당입니다. 방송을 많이 타서 방문객이 많지만 시골에 위치해서 기본적으로 조용한 곳이라서 힐링하기 좋은 곳이에요
140,천주교 대전교구 공세리성당-->예뻐요
141,천주교 대전교구 공세리성당-->생각보다찾아가긴힘들었는데성당이너무이쁘더라구요 해질녘에갔는데너무분위기있었어요 밤에는운전이쉽지않더라구요ㅜ조심ㅜ
142,천주교 대전교구 공세리성당-->공부하고 가면 더욱 흥미로워요
143,"천주교 대전교구 공세리성당-->아무 생각 없이 가면 그냥 예쁜 집입니다. 그곳의 지난 세월을 알고, 그곳에 관련된 사연을 알고 가면 입이 떡 벌어질 감동이 옵니다."
144,천주교 대전교구 공세리성당-->공세리 유명하다길래
145,천주교 대전교구 공세리성당-->지나가는길이면 들리세요 유턴까지는 하시고 멀리서 찾아가지말세요 ㅎㅎ 영화에서 나온장면은 역시나 영화로만 보세요 ㅋㅋ
146,천주교 대전교구 공세리성당-->예쁜성당
147,천주교 대전교구 공세리성당-->오래된 유서깊은성당으로 경치가 참 좋아요공세리 성당의 역사도 볼수있는 작은 박물관도 있구요 마음이 편해지는곳~
148,천주교 대전교구 공세리성당-->조용하게 마음을 안정시킬 수 있는 유서깊은 성당이에요.
149,천주교 대전교구 공세리성당-->아름다운 주변 풍광에 섞여있는 아담하고 조용한 성당이에요. 역사적으로도 오래되어 찾는 사람들이 많아요.
150,천주교 대전교구 공세리성당-->연인과 함께가기 좋은 곳
151,천주교 대전교구 공세리성당-->성당이 정말 작음.그래서 아기자기한 분위기.맑은 날 가면 그렇게 예쁠 수 없음.주변에도 데이트 장소로 추천하고자 함.
152,팜카밀레 허브농원-->Heavenly Garden
153,"팜카밀레 허브농원-->Very beautiful place! The whole farm/garden is super spacious and big! It was also a part of various Korean dramas, so if you are hallyu fan you should definitely go! There are many flowers, plants and animals! You can also enjoy a foot bath inside. #추천웰니스관광지 #wellnesskorea #wellnesstourismsupporters #한국관광공사 #팜카밀레"
154,팜카밀레 허브농원-->Beautiful off the beaten path garden
155,"팜카밀레 허브농원-->Farm Kamille is a beautiful garden with 10 different areas and plenty to enjoy for a morning or afternoon. There are flowers, herbs, some farm animals for kids to feed, foot baths, and a cafe for tea. It’s a beautiful off the beaten path find in Korea."
156,천주교 전주교구 전동성당-->지금은 공사중
157,"천주교 전주교구 전동성당-->경기전 옆에 있습니다만, 지금은 공사중입니다.공사가 언제 끝나는지 모르겠지만 전체를 가리고 공사중이라 성당 모습을 볼 수 없어 아쉽네요."
158,천주교 전주교구 전동성당-->언제 찾아도 편안한 곳
159,천주교 전주교구 전동성당-->종교인은 아니지만성스러움을 내뿜는 아우라로 정의할수 없는 심적 편안함을 주는 전동성당붉은 벽돌을 사용하여 지은 오래된 건축양식과 더해진전주의 힐링포인트 중의 한군데
160,천주교 전주교구 전동성당-->전주의 랜드마크
161,천주교 전주교구 전동성당-->규모는 작은 성당이지만 독특한 매력이 있는 곳입니다. 사람이 너무나도 많아져서 이제는 시끌벅적하지만 그래도 전주를 간다면 안가기는 아쉬운 곳이에요.
162,천주교 전주교구 전동성당-->분위기 있는 사진촬영명소
163,"천주교 전주교구 전동성당-->근대건축이 많이 남아있지 않은 한국에서 보기 드물게 근대 건축물이 남아있는 전동성당. 보통 앞에서 기념사진을 찍거나, 12시에 있는 내부투어만 돌게 되지만... 성당 뒷편에서 바라보는 느낌은 사뭇 다르다. 정문앞에 아기자기한 소품을 파는 카카오스토어까지 생겨서 커플이 가기에도 좋은 곳이다."
164,"천주교 전주교구 전동성당-->역사의 공간, 경건한 맘으로 방문했어요."
